mosquito_species;male;fem_unfed;fem_fed;fem_gravid;total;collection_date;remarks;source
Culex;4;9;1;0;14;29/1/24;;
Others;0;0;0;0;0;29/1/24;;
Aedes Albopictus;0;0;0;0;0;29/1/24;;
Aedes Aegypti;0;0;0;0;0;29/1/24;;
Culex;9;0;0;0;9;29/1/24;;
Others;0;0;0;0;0;29/1/24;;
Aedes Albopictus;0;0;0;0;0;29/1/24;;
Aedes Aegypti;0;0;0;0;0;29/1/24;;
Culex;1;3;0;0;4;29/1/24;;
Others;0;0;0;0;0;29/1/24;;
Aedes Albopictus;0;0;0;0;0;30/1/24;;
Aedes Aegypti;0;0;0;0;0;30/1/24;;
Culex;10;0;0;0;10;30/1/24;;
Others;0;0;0;0;0;30/1/24;;
Aedes Albopictus;0;0;0;0;0;30/1/24;;
Aedes Aegypti;0;0;0;0;0;30/1/24;;
Culex;8;0;0;0;0;30/1/24;;
Others;0;0;0;0;0;30/1/24;;
Aedes Albopictus;0;0;0;0;0;30/1/24;;
Aedes Aegypti;0;0;0;0;0;30/1/24;;
Culex;2;1;0;0;3;30/1/24;;
Others;0;0;0;0;0;30/1/24;;
Aedes Albopictus;0;0;0;0;0;30/1/24;;
Aedes Aegypti;0;0;0;0;0;30/1/24;;
Culex;0;0;0;0;0;30/1/24;;
Others;0;0;0;0;0;30/1/24;;
Aedes Albopictus;0;0;0;0;0;30/1/24;;
Aedes Aegypti;0;0;0;0;0;30/1/24;;
Culex;6;0;1;0;7;30/1/24;;
Others;0;0;0;0;0;30/1/24;;
Aedes Albopictus;0;0;0;0;0;4/2/24;;
Aedes Aegypti;0;0;0;0;0;4/2/24;;
Culex;4;29;1;0;34;4/2/24;;
Others;0;0;0;0;0;4/2/24;;
Aedes Albopictus;0;0;0;0;0;4/2/24;;
Aedes Aegypti;0;0;0;0;0;4/2/24;;
Culex;11;42;0;0;53;4/2/24;;
Others;0;0;0;0;0;4/2/24;;
Aedes Albopictus;0;0;0;0;0;4/2/24;;
Aedes Aegypti;0;0;0;0;0;4/2/24;;
Culex;21;43;0;0;64;4/2/24;;
Others;0;0;0;0;0;4/2/24;;
Aedes Albopictus;0;0;0;0;0;4/2/24;;
Aedes Aegypti;0;0;0;0;0;4/2/24;;
Culex;81;58;0;0;139;4/2/24;;
Others;0;0;0;0;0;4/2/24;;
Aedes Albopictus;0;0;0;0;0;4/2/24;;
Aedes Aegypti;0;0;0;0;0;4/2/24;;
Culex;108;137;0;0;245;4/2/24;;
Others;0;0;0;0;0;4/2/24;;
Aedes Albopictus;0;0;0;0;0;5/2/24;;
Aedes Aegypti;0;0;0;0;0;5/2/24;;
Culex;0;35;0;0;35;5/2/24;;
Others;0;0;0;0;0;5/2/24;;
Aedes Albopictus;0;0;0;0;0;5/2/24;;
Aedes Aegypti;0;0;0;0;0;5/2/24;;
Culex;39;75;0;0;114;5/2/24;;
Others;0;0;0;0;0;5/2/24;;
Aedes Albopictus;0;0;0;0;0;5/2/24;;
Aedes Aegypti;0;0;0;0;0;5/2/24;;
Culex;108;22;0;0;130;5/2/24;;
Others;0;0;0;0;0;5/2/24;;
Aedes Albopictus;0;0;0;0;0;5/2/24;;
Aedes Aegypti;0;0;0;0;0;5/2/24;;
Culex;83;34;0;0;117;5/2/24;;
Others;0;0;0;0;0;5/2/24;;
Aedes Albopictus;0;0;0;0;0;5/2/24;;
Aedes Aegypti;0;0;0;0;0;5/2/24;;
Culex;209;45;0;0;254;5/2/24;;
Others;0;0;0;0;0;5/2/24;;
Aedes Albopictus;0;0;0;0;0;31/1/24;;
Aedes Aegypti;0;0;0;0;0;31/1/24;;
Culex;130;44;0;0;174;31/1/24;;
Others;0;0;0;0;0;31/1/24;;
Aedes Albopictus;0;0;0;0;0;31/1/24;;
Aedes Aegypti;0;0;0;0;0;31/1/24;;
Culex;0;25;2;1;28;31/1/24;;
Others;0;0;0;0;0;31/1/24;;
Aedes Albopictus;0;0;0;0;0;31/1/24;;
Aedes Aegypti;0;0;0;0;0;31/1/24;;
Culex;301;53;0;0;354;31/1/24;;
Others;0;0;0;0;0;31/1/24;;
Aedes Albopictus;0;0;0;0;0;31/1/24;;
Aedes Aegypti;0;0;0;0;0;31/1/24;;
Culex;488;31;2;0;521;31/1/24;;
Others;0;0;0;0;0;31/1/24;;
Aedes Albopictus;0;0;0;0;0;31/1/24;;
Aedes Aegypti;0;0;0;0;0;31/1/24;;
Culex;39;26;0;0;65;31/1/24;;
Others;0;0;0;0;0;31/1/24;;
Aedes Albopictus;0;0;0;0;0;1/2/24;;
