mosquito_species;male;fem_unfed;fem_fed;fem_gravid;total;collection_date;remarks;source
Culex;11;25;5;0;41;19/4/24;;
Others;0;0;0;0;0;19/4/24;;
Aedes Albopictus;0;0;0;0;0;19/4/24;;
Aedes Aegypti;0;0;0;0;0;19/4/24;;
Culex;4;36;2;5;47;19/4/24;;
Others;0;0;0;0;0;19/4/24;;
Aedes Albopictus;0;0;0;0;0;19/4/24;;
Aedes Aegypti;0;0;0;0;0;19/4/24;;
Culex;4;0;0;0;4;19/4/24;;
Others;0;0;0;0;0;19/4/24;;
Aedes Albopictus;0;0;0;0;0;19/4/24;;
Aedes Aegypti;0;0;0;0;0;19/4/24;;
Culex;0;0;0;0;0;19/4/24;;
Others;0;0;0;0;0;19/4/24;;
Aedes Albopictus;0;0;0;0;0;16/4/24;;
Aedes Aegypti;0;0;0;0;0;16/4/24;;
Culex;0;0;0;0;0;16/4/24;;
Others;0;0;0;0;0;16/4/24;;
Aedes Albopictus;0;0;0;0;0;16/4/24;;
Aedes Aegypti;0;4;0;0;4;16/4/24;;
Culex;11;21;3;0;35;16/4/24;;
Others;0;0;0;0;0;16/4/24;;
Aedes Albopictus;0;0;0;0;0;16/4/24;;
Aedes Aegypti;0;0;0;0;0;16/4/24;;
Culex;8;59;6;2;75;16/4/24;;
Others;0;0;0;0;0;16/4/24;;
Aedes Albopictus;0;0;0;0;0;16/4/24;;
Aedes Aegypti;0;0;0;0;0;16/4/24;;
Culex;5;9;0;0;14;16/4/24;;
Others;0;0;0;0;0;16/4/24;;
Aedes Albopictus;0;0;0;0;0;16/4/24;;
Aedes Aegypti;0;0;0;0;0;16/4/24;;
Culex;2;13;0;0;15;16/4/24;;
Others;0;0;0;0;0;16/4/24;;
Aedes Albopictus;0;0;0;0;0;17/4/24;;
Aedes Aegypti;0;0;0;0;0;17/4/24;;
Culex;1;6;0;0;7;17/4/24;;
Others;0;0;0;0;0;17/4/24;;
Aedes Albopictus;0;0;0;0;0;17/4/24;;
Aedes Aegypti;0;1;0;0;1;17/4/24;;
Culex;6;65;2;0;73;17/4/24;;
Others;0;0;0;0;0;17/4/24;;
Aedes Albopictus;0;0;0;0;0;17/4/24;;
Aedes Aegypti;0;2;0;0;2;17/4/24;;
Culex;11;69;3;0;83;17/4/24;;
Others;0;0;0;0;0;17/4/24;;
Aedes Albopictus;0;0;0;0;0;17/4/24;;
Aedes Aegypti;0;1;0;0;1;17/4/24;;
Culex;15;18;1;0;34;17/4/24;;
Others;0;0;0;0;0;17/4/24;;
Aedes Albopictus;0;0;0;0;0;17/4/24;;
Aedes Aegypti;0;0;0;0;0;17/4/24;;
Culex;15;51;21;9;96;17/4/24;;
Others;0;0;0;0;0;17/4/24;;
Aedes Albopictus;0;0;0;0;0;19/4/24;;
Aedes Aegypti;0;0;0;0;0;19/4/24;;
Culex;0;1;0;0;1;19/4/24;;
Others;0;0;0;0;0;19/4/24;;
Aedes Albopictus;0;0;0;0;0;19/4/24;;
Aedes Aegypti;1;0;0;0;1;19/4/24;;
Culex;2;2;0;0;4;19/4/24;;
Others;0;0;0;0;0;19/4/24;;
Aedes Albopictus;0;0;0;0;0;19/4/24;;
Aedes Aegypti;0;0;0;0;0;19/4/24;;
Culex;0;1;0;0;1;19/4/24;;
Others;0;0;0;0;0;19/4/24;;
Aedes Albopictus;0;0;0;0;0;19/4/24;;
Aedes Aegypti;0;0;0;0;0;19/4/24;;
Culex;3;0;0;0;3;19/4/24;;
Others;0;0;0;0;0;19/4/24;;
Aedes Albopictus;0;0;0;0;0;19/4/24;;
Aedes Aegypti;0;1;0;0;1;19/4/24;;
Culex;6;2;0;0;8;19/4/24;;
Others;0;0;0;0;0;19/4/24;;
Aedes Albopictus;0;0;0;0;0;20/4/24;;
Aedes Aegypti;0;0;0;0;0;20/4/24;;
Culex;4;0;0;0;4;20/4/24;;
Others;0;0;0;0;0;20/4/24;;
Aedes Albopictus;0;0;0;0;0;20/4/24;;
Aedes Aegypti;0;0;0;0;0;20/4/24;;
Culex;2;0;0;0;2;20/4/24;;
Others;0;0;0;0;0;20/4/24;;
Aedes Albopictus;0;0;0;0;0;20/4/24;;
Aedes Aegypti;0;0;0;0;0;20/4/24;;
Culex;7;2;0;0;9;20/4/24;;
Others;0;0;0;0;0;20/4/24;;
Aedes Albopictus;0;0;0;0;0;20/4/24;;
Aedes Aegypti;4;2;0;0;6;20/4/24;;
Culex;4;1;0;0;5;20/4/24;;
Others;0;0;0;0;0;20/4/24;;
Aedes Albopictus;0;0;0;0;0;20/4/24;;
Aedes Aegypti;0;1;0;0;1;20/4/24;;
Culex;6;0;0;0;6;20/4/24;;
Others;0;0;0;0;0;20/4/24;;
Aedes Albopictus;0;0;0;0;0;21/4/24;;
Aedes Aegypti;0;0;0;0;0;21/4/24;;
Culex;4;0;0;0;4;21/4/24;;
Others;0;0;0;0;0;21/4/24;;
Aedes Albopictus;0;0;0;0;0;21/4/24;;
Aedes Aegypti;0;0;0;0;0;21/4/24;;
Culex;7;0;6;2;15;21/4/24;;
Others;0;0;0;0;0;21/4/24;;
Aedes Albopictus;0;0;0;0;0;21/4/24;;
Aedes Aegypti;0;0;0;0;0;21/4/24;;
Culex;2;0;3;0;5;21/4/24;;
Others;0;0;0;0;0;21/4/24;;
Aedes Albopictus;0;0;0;0;0;21/4/24;;
Aedes Aegypti;0;1;0;0;1;21/4/24;;
Culex;6;0;2;0;8;21/4/24;;
Others,Armigeres;0;1;0;0;1;21/4/24;;
Aedes Albopictus;0;0;0;0;0;21/4/24;;
Aedes Aegypti;0;0;0;0;0;21/4/24;;
Culex;0;0;0;0;0;21/4/24;;
Others;0;0;0;0;0;21/4/24;;
Aedes Albopictus;0;0;0;0;0;22/4/24;;
Aedes Aegypti;0;0;0;0;0;22/4/24;;
Culex;3;0;0;0;3;22/4/24;;
Others;0;0;0;0;0;22/4/24;;
Aedes Albopictus;0;0;0;0;0;22/4/24;;
Aedes Aegypti;0;2;0;0;2;22/4/24;;
Culex;19;8;1;0;28;22/4/24;;
Others;0;0;0;0;0;22/4/24;;
Aedes Albopictus;0;0;0;0;0;22/4/24;;
Aedes Aegypti;0;0;0;0;0;22/4/24;;
Culex;1;0;2;0;3;22/4/24;;
Others;0;0;0;0;0;22/4/24;;
Aedes Albopictus;0;0;0;0;0;22/4/24;;
Aedes Aegypti;0;4;0;0;4;22/4/24;;
Culex;6;4;0;0;10;22/4/24;;
Others;0;0;0;0;0;22/4/24;;
Aedes Albopictus;0;0;0;0;0;22/4/24;;
Aedes Aegypti;0;1;0;0;1;22/4/24;;
Culex;11;3;1;0;15;22/4/24;;
Others;0;0;0;0;0;22/4/24;;
Aedes Albopictus;0;0;0;0;0;23/4/24;;
Aedes Aegypti;0;0;0;0;0;23/4/24;;
Culex;10;35;1;0;46;23/4/24;;
Others;0;0;0;0;0;23/4/24;;
Aedes Albopictus;0;0;0;0;0;23/4/24;;
Aedes Aegypti;0;0;0;0;0;23/4/24;;
Culex;5;0;8;0;13;23/4/24;;
Others;0;0;0;0;0;23/4/24;;
Aedes Albopictus;0;0;0;0;0;23/4/24;;
Aedes Aegypti;0;0;0;0;0;23/4/24;;
Culex;12;0;0;0;12;23/4/24;;
Others;0;0;0;0;0;23/4/24;;
Aedes Albopictus;0;0;0;0;0;23/4/24;;
Aedes Aegypti;0;0;0;0;0;23/4/24;;
Culex;10;0;4;0;14;23/4/24;;
Others;0;0;0;0;0;23/4/24;;
Aedes Albopictus;0;0;0;0;0;23/4/24;;
Aedes Aegypti;0;0;0;0;0;23/4/24;;
Culex;3;0;2;0;5;23/4/24;;
Others,Armigeres;0;3;0;0;3;23/4/24;;
Aedes Albopictus;0;0;0;0;0;24/4/24;;
Aedes Aegypti;0;0;0;0;0;24/4/24;;
Culex;6;14;0;0;20;24/4/24;;
Others;0;0;0;0;0;24/4/24;;
Aedes Albopictus;0;0;0;0;0;24/4/24;;
Aedes Aegypti;0;1;0;0;1;24/4/24;;
Culex;12;7;4;0;23;24/4/24;;
Others;0;0;0;0;0;24/4/24;;
Aedes Albopictus;0;0;0;0;0;24/4/24;;
Aedes Aegypti;0;0;0;0;0;24/4/24;;
Culex;4;30;2;0;36;24/4/24;;
Others;0;0;0;0;0;24/4/24;;
Aedes Albopictus;0;0;0;0;0;24/4/24;;
Aedes Aegypti;0;0;0;0;0;24/4/24;;
Culex;2;9;0;0;11;24/4/24;;
Others;0;0;0;0;0;24/4/24;;
Aedes Albopictus;0;0;0;0;0;24/4/24;;
Aedes Aegypti;0;0;0;0;0;24/4/24;;
Culex;1;2;3;0;6;24/4/24;;
Others;0;0;0;0;0;24/4/24;;
Aedes Albopictus;0;0;0;0;0;26/4/24;;
Aedes Aegypti;0;0;0;0;0;26/4/24;;
Culex;7;11;2;0;20;26/4/24;;
Others;0;0;0;0;0;26/4/24;;
Aedes Albopictus;0;0;0;0;0;26/4/24;;
Aedes Aegypti;0;0;0;0;0;26/4/24;;
Culex;16;302;16;8;342;26/4/24;;
Others;0;0;0;0;0;26/4/24;;
Aedes Albopictus;0;0;0;0;0;26/4/24;;
Aedes Aegypti;0;0;0;0;0;26/4/24;;
Culex;12;188;9;4;213;26/4/24;;
Others;0;0;0;0;0;26/4/24;;
Aedes Albopictus;0;0;0;0;0;26/4/24;;
Aedes Aegypti;0;0;0;0;0;26/4/24;;
Culex;3;0;1;0;4;26/4/24;;
Others;0;0;0;0;0;26/4/24;;
Aedes Albopictus;0;0;0;0;0;26/4/24;;
Aedes Aegypti;0;0;0;0;0;26/4/24;;
Culex;19;25;7;0;51;26/4/24;;
Others;0;0;0;0;0;26/4/24;;
Aedes Albopictus;0;0;0;0;0;27/4/24;;
Aedes Aegypti;0;0;0;0;0;27/4/24;;
Culex;6;12;1;0;19;27/4/24;;
Others;0;0;0;0;0;27/4/24;;
Aedes Albopictus;0;0;0;0;0;27/4/24;;
Aedes Aegypti;0;1;0;0;1;27/4/24;;
Culex;20;15;2;0;37;27/4/24;;
Others;0;0;0;0;0;27/4/24;;
Aedes Albopictus;0;0;0;0;0;27/4/24;;
Aedes Aegypti;0;0;0;0;0;27/4/24;;
Culex;25;209;6;4;244;27/4/24;;
Others;0;0;0;0;0;27/4/24;;
Aedes Albopictus;0;0;0;0;0;27/4/24;;
Aedes Aegypti;0;0;0;0;0;27/4/24;;
Culex;2;0;0;0;2;27/4/24;;
Others;0;0;0;0;0;27/4/24;;
Aedes Albopictus;0;0;0;0;0;27/4/24;;
Aedes Aegypti;0;0;0;0;0;27/4/24;;
Culex;32;81;10;2;125;27/4/24;;
Others,Armigeres;0;0;0;0;0;27/4/24;;
Aedes Albopictus;0;0;0;0;0;24/4/24;;
Aedes Aegypti;0;0;0;0;0;24/4/24;;
Culex;30;65;6;0;101;24/4/24;;
Others;0;0;0;0;0;24/4/24;;
Aedes Albopictus;0;0;0;0;0;24/4/24;;
Aedes Aegypti;0;0;0;0;0;24/4/24;;
Culex;129;490;109;4;732;24/4/24;;
Others;0;0;0;0;0;24/4/24;;
Aedes Albopictus;0;0;0;0;0;24/4/24;;
Aedes Aegypti;0;0;0;0;0;24/4/24;;
Culex;4;0;2;0;6;24/4/24;;
Others;0;0;0;0;0;24/4/24;;
Aedes Albopictus;0;0;0;0;0;24/4/24;;
Aedes Aegypti;0;1;0;0;1;24/4/24;;
Culex;7;0;3;0;10;24/4/24;;
Others;0;0;0;0;0;24/4/24;;
Aedes Albopictus;0;0;0;0;0;24/4/24;;
Aedes Aegypti;0;0;0;0;0;24/4/24;;
Culex;2;0;6;2;10;24/4/24;;
Others;0;0;0;0;0;24/4/24;;
Aedes Albopictus;0;0;0;0;0;25/4/24;;
Aedes Aegypti;0;0;0;0;0;25/4/24;;
Culex;15;72;11;3;101;25/4/24;;
Others,Armigeres;0;0;0;0;0;25/4/24;;
Aedes Albopictus;0;0;0;0;0;25/4/24;;
Aedes Aegypti;208;325;92;7;632;25/4/24;;
Culex;0;0;0;0;0;25/4/24;;
Others;0;0;0;0;0;25/4/24;;
Aedes Albopictus;0;0;0;0;0;25/4/24;;
Aedes Aegypti;0;0;0;0;0;25/4/24;;
Culex;3;2;0;0;5;25/4/24;;
Others;0;0;0;0;0;25/4/24;;
Aedes Albopictus;0;0;0;0;0;25/4/24;;
Aedes Aegypti;0;1;0;0;1;25/4/24;;
Culex;10;11;8;0;29;25/4/24;;
Others;0;0;0;0;0;25/4/24;;
Aedes Albopictus;0;0;0;0;0;25/4/24;;
Aedes Aegypti;0;0;0;0;0;25/4/24;;
Culex;4;2;0;0;6;25/4/24;;
Others,Armigeres;0;0;0;0;0;25/4/24;;
Aedes Albopictus;0;0;0;0;0;20/4/24;;
Aedes Aegypti;0;1;0;0;1;20/4/24;;
Culex;6;1;0;0;7;20/4/24;;
Others;0;0;0;0;0;20/4/24;;
Aedes Albopictus;0;0;0;0;0;20/4/24;;
Aedes Aegypti;0;2;0;0;2;20/4/24;;
Culex;8;4;0;0;12;20/4/24;;
Others;0;0;0;0;0;20/4/24;;
Aedes Albopictus;0;0;0;0;0;20/4/24;;
Aedes Aegypti;0;0;0;0;0;20/4/24;;
Culex;10;2;0;0;12;20/4/24;;
Others;0;0;0;0;0;20/4/24;;
Aedes Albopictus;0;0;0;0;0;20/4/24;;
Aedes Aegypti;0;0;0;0;0;20/4/24;;
Culex;13;4;0;0;17;20/4/24;;
Others;0;0;0;0;0;20/4/24;;
Aedes Albopictus;0;0;0;0;0;20/4/24;;
Aedes Aegypti;0;2;0;1;3;20/4/24;;
Culex;10;4;2;0;16;20/4/24;;
Others,Armigeres;0;1;0;0;1;20/4/24;;
Aedes Albopictus;0;0;0;0;0;21/4/24;;
Aedes Aegypti;0;2;0;0;2;21/4/24;;
Culex;4;4;0;0;8;21/4/24;;
Others;0;0;0;0;0;21/4/24;;
Aedes Albopictus;0;0;0;0;0;21/4/24;;
Aedes Aegypti;2;4;0;0;6;21/4/24;;
Culex;13;4;2;0;19;21/4/24;;
Others;0;0;0;0;0;21/4/24;;
Aedes Albopictus;0;0;0;0;0;21/4/24;;
Aedes Aegypti;0;0;0;0;0;21/4/24;;
Culex;6;0;4;2;12;21/4/24;;
Others;0;0;0;0;0;21/4/24;;
Aedes Albopictus;0;0;0;0;0;21/4/24;;
Aedes Aegypti;1;2;0;0;3;21/4/24;;
Culex;8;12;4;0;24;21/4/24;;
Others;0;0;0;0;0;21/4/24;;
Aedes Albopictus;0;0;0;0;0;21/4/24;;
Aedes Aegypti;0;1;0;0;1;21/4/24;;
Culex;4;2;0;0;6;21/4/24;;
Others;0;0;0;0;0;21/4/24;;
Aedes Albopictus;0;0;0;0;0;3/4/24;;
Aedes Aegypti;0;0;0;0;0;3/4/24;;
Culex;5;10;0;0;15;3/4/24;;
Others;0;0;0;0;0;3/4/24;;
Aedes Albopictus;0;0;0;0;0;3/4/24;;
Aedes Aegypti;0;0;0;0;0;3/4/24;;
Culex;6;0;0;0;6;3/4/24;;
Others;0;0;0;0;0;3/4/24;;
Aedes Albopictus;0;0;0;0;0;3/4/24;;
Aedes Aegypti;0;0;0;0;0;3/4/24;;
Culex;0;0;0;0;0;3/4/24;;
Others;0;0;0;0;0;3/4/24;;
Aedes Albopictus;0;0;0;0;0;3/4/24;;
Aedes Aegypti;0;0;0;0;0;3/4/24;;
Culex;4;2;0;0;6;3/4/24;;
Others;0;0;0;0;0;3/4/24;;
Aedes Albopictus;0;0;0;0;0;3/4/24;;
Aedes Aegypti;0;0;0;0;0;3/4/24;;
Culex;0;0;0;0;0;3/4/24;;
Others;0;0;0;0;0;3/4/24;;
Aedes Albopictus;0;0;0;0;0;4/4/24;;
Aedes Aegypti;0;1;0;0;1;4/4/24;;
Culex;8;5;0;0;13;4/4/24;;
Others;0;1;0;0;1;4/4/24;;
Aedes Albopictus;0;0;0;0;0;4/4/24;;
Aedes Aegypti;0;1;0;1;2;4/4/24;;
Culex;4;1;0;0;5;4/4/24;;
Others;0;0;0;0;0;4/4/24;;
Aedes Albopictus;0;0;0;0;0;4/4/24;;
Aedes Aegypti;0;0;0;0;0;4/4/24;;
Culex;0;0;0;0;0;4/4/24;;
Others;0;0;0;0;0;4/4/24;;
Aedes Albopictus;0;0;0;0;0;4/4/24;;
Aedes Aegypti;1;0;0;0;1;4/4/24;;
Culex;4;6;0;0;10;4/4/24;;
Others;0;0;0;0;0;4/4/24;;
Aedes Albopictus;0;0;0;0;0;4/4/24;;
Aedes Aegypti;0;0;0;0;0;4/4/24;;
Culex;0;0;0;0;0;4/4/24;;
Others;0;0;0;0;0;4/4/24;;
Aedes Albopictus;0;0;0;0;0;22/4/24;;
Aedes Aegypti;8;13;0;0;21;22/4/24;;
Culex;40;11;14;0;65;22/4/24;;
Others;0;0;0;0;0;22/4/24;;
Aedes Albopictus;0;0;0;0;0;22/4/24;;
Aedes Aegypti;0;0;0;0;0;22/4/24;;
Culex;0;0;1;0;1;22/4/24;;
Others;0;0;0;0;0;22/4/24;;
Aedes Albopictus;0;0;0;0;0;22/4/24;;
Aedes Aegypti;0;0;0;0;0;22/4/24;;
Culex;1;0;4;0;5;22/4/24;;
Others;0;0;0;0;0;22/4/24;;
Aedes Albopictus;0;0;0;0;0;22/4/24;;
Aedes Aegypti;0;2;0;1;3;22/4/24;;
Culex;15;7;4;0;26;22/4/24;;
Others;0;0;0;0;0;22/4/24;;
Aedes Albopictus;0;0;0;0;0;22/4/24;;
Aedes Aegypti;0;0;0;0;0;22/4/24;;
Culex;0;0;0;0;0;22/4/24;;
Others;0;0;0;0;0;22/4/24;;
Aedes Albopictus;0;0;0;0;0;23/4/24;;
Aedes Aegypti;9;12;0;0;21;23/4/24;;
Culex;26;11;3;0;40;23/4/24;;
Others;0;0;0;0;0;23/4/24;;
Aedes Albopictus;0;0;0;0;0;23/4/24;;
Aedes Aegypti;1;0;0;0;1;23/4/24;;
Culex;0;0;0;0;0;23/4/24;;
Others;0;0;0;0;0;23/4/24;;
Aedes Albopictus;0;0;0;0;0;23/4/24;;
Aedes Aegypti;0;0;0;0;0;23/4/24;;
Culex;0;0;0;0;0;23/4/24;;
Others;0;0;0;0;0;23/4/24;;
Aedes Albopictus;0;0;0;0;0;23/4/24;;
Aedes Aegypti;0;6;0;0;6;23/4/24;;
Culex;7;0;6;0;13;23/4/24;;
Others;0;0;0;0;0;23/4/24;;
Aedes Albopictus;0;0;0;0;0;23/4/24;;
Aedes Aegypti;0;0;0;0;0;23/4/24;;
Culex;3;0;0;0;3;23/4/24;;
Others;0;0;0;0;0;23/4/24;;
Aedes Albopictus;0;0;0;0;0;17/4/24;;
Aedes Aegypti;0;0;0;0;0;17/4/24;;
Culex;0;0;0;0;0;17/4/24;;
Others;0;0;0;0;0;17/4/24;;
Aedes Albopictus;0;0;0;0;0;17/4/24;;
Aedes Aegypti;0;2;0;0;2;17/4/24;;
Culex;2;0;4;0;6;17/4/24;;
Others;0;0;0;0;0;17/4/24;;
Aedes Albopictus;0;0;0;0;0;17/4/24;;
Aedes Aegypti;0;0;0;0;0;17/4/24;;
Culex;0;0;0;0;0;17/4/24;;
Others;0;0;0;0;0;17/4/24;;
Aedes Albopictus;0;0;0;0;0;17/4/24;;
Aedes Aegypti;0;1;0;0;1;17/4/24;;
Culex;6;12;0;0;18;17/4/24;;
Others;0;0;0;0;0;17/4/24;;
Aedes Albopictus;0;0;0;0;0;17/4/24;;
Aedes Aegypti;0;0;0;0;0;17/4/24;;
Culex;0;0;0;0;0;17/4/24;;
Others;0;0;0;0;0;17/4/24;;
Aedes Albopictus;0;0;0;0;0;18/4/24;;
Aedes Aegypti;0;0;0;0;0;18/4/24;;
Culex;0;0;0;0;0;18/4/24;;
Others;0;0;0;0;0;18/4/24;;
Aedes Albopictus;0;0;0;0;0;18/4/24;;
Aedes Aegypti;0;0;1;0;1;18/4/24;;
Culex;6;2;0;0;8;18/4/24;;
Others;0;0;0;0;0;18/4/24;;
Aedes Albopictus;0;0;0;0;0;18/4/24;;
Aedes Aegypti;0;0;0;0;0;18/4/24;;
Culex;18;8;0;2;28;18/4/24;;
Others;0;0;0;0;0;18/4/24;;
Aedes Albopictus;0;0;0;0;0;18/4/24;;
Aedes Aegypti;0;1;1;0;2;18/4/24;;
Culex;1;1;0;0;2;18/4/24;;
Others;0;0;0;0;0;18/4/24;;
Aedes Albopictus;0;0;0;0;0;18/4/24;;
Aedes Aegypti;0;0;0;0;0;18/4/24;;
Culex;0;0;0;0;0;18/4/24;;
Others;0;0;0;0;0;18/4/24;;
Aedes Albopictus;0;0;0;0;0;27/4/24;;
Aedes Aegypti;0;0;0;0;0;27/4/24;;
Culex;18;31;0;0;49;27/4/24;;
Others;0;0;0;0;0;27/4/24;;
Aedes Albopictus;0;0;0;0;0;27/4/24;;
Aedes Aegypti;0;0;0;0;0;27/4/24;;
Culex;6;27;8;0;41;27/4/24;;
Others;0;0;0;0;0;27/4/24;;
Aedes Albopictus;0;0;0;0;0;27/4/24;;
Aedes Aegypti;0;0;0;0;0;27/4/24;;
Culex;11;291;16;6;324;27/4/24;;
Others;0;0;0;0;0;27/4/24;;
Aedes Albopictus;0;0;0;0;0;27/4/24;;
Aedes Aegypti;0;0;0;0;0;27/4/24;;
Culex;0;4;0;0;4;27/4/24;;
Others;0;0;0;0;0;27/4/24;;
Aedes Albopictus;0;0;0;0;0;27/4/24;;
Aedes Aegypti;0;0;0;0;0;27/4/24;;
Culex;0;0;0;0;0;27/4/24;;
Others;0;0;0;0;0;27/4/24;;
Aedes Albopictus;0;0;0;0;0;28/4/24;;
Aedes Aegypti;0;0;0;0;0;28/4/24;;
Culex;9;26;1;0;36;28/4/24;;
Others;0;0;0;0;0;28/4/24;;
Aedes Albopictus;0;0;0;0;0;28/4/24;;
Aedes Aegypti;0;0;0;0;0;28/4/24;;
Culex;25;12;2;2;41;28/4/24;;
Others;0;0;0;0;0;28/4/24;;
Aedes Albopictus;0;0;0;0;0;28/4/24;;
Aedes Aegypti;0;0;0;0;0;28/4/24;;
Culex;80;198;4;21;303;28/4/24;;
Others;0;0;0;0;0;28/4/24;;
Aedes Albopictus;0;0;0;0;0;28/4/24;;
Aedes Aegypti;0;0;0;0;0;28/4/24;;
Culex;0;2;0;0;2;28/4/24;;
Others;0;0;0;0;0;28/4/24;;
Aedes Albopictus;0;0;0;0;0;28/4/24;;
Aedes Aegypti;0;0;0;0;0;28/4/24;;
Culex;0;0;0;0;0;28/4/24;;
Others;0;0;0;0;0;28/4/24;;
Aedes Albopictus;0;0;0;0;0;28/4/24;;
Aedes Aegypti;0;1;0;0;1;28/4/24;;
Culex;12;0;0;0;12;28/4/24;;
Others;0;0;0;0;0;28/4/24;;
Aedes Albopictus;0;0;0;0;0;28/4/24;;
Aedes Aegypti;0;0;0;0;0;28/4/24;;
Culex;0;0;0;0;0;28/4/24;;
Others;0;0;0;0;0;28/4/24;;
Aedes Albopictus;0;0;0;0;0;28/4/24;;
Aedes Aegypti;0;0;0;0;0;28/4/24;;
Culex;0;0;0;0;0;28/4/24;;
Others;0;0;0;0;0;28/4/24;;
Aedes Albopictus;0;0;0;0;0;28/4/24;;
Aedes Aegypti;0;0;0;0;0;28/4/24;;
Culex;0;0;0;0;0;28/4/24;;
Others;0;0;0;0;0;28/4/24;;
Aedes Albopictus;0;0;0;0;0;28/4/24;;
Aedes Aegypti;0;0;0;0;0;28/4/24;;
Culex;0;0;0;0;0;28/4/24;;
Others;0;0;0;0;0;28/4/24;;
Aedes Albopictus;0;0;0;0;0;29/4/24;;
Aedes Aegypti;0;1;0;0;1;29/4/24;;
Culex;13;6;0;0;19;29/4/24;;
Others;0;0;0;0;0;29/4/24;;
Aedes Albopictus;0;0;0;0;0;29/4/24;;
Aedes Aegypti;0;0;0;0;0;29/4/24;;
Culex;3;4;0;0;7;29/4/24;;
Others;0;0;0;0;0;29/4/24;;
Aedes Albopictus;0;0;0;0;0;29/4/24;;
Aedes Aegypti;0;1;0;0;1;29/4/24;;
Culex;0;0;0;0;0;29/4/24;;
Others;0;0;0;0;0;29/4/24;;
Aedes Albopictus;0;0;0;0;0;29/4/24;;
Aedes Aegypti;0;0;0;0;0;29/4/24;;
Culex;0;0;0;0;0;29/4/24;;
Others;0;0;0;0;0;29/4/24;;
Aedes Albopictus;0;0;0;0;0;29/4/24;;
Aedes Aegypti;0;0;0;0;0;29/4/24;;
Culex;3;0;0;0;3;29/4/24;;
Others;0;0;0;0;0;29/4/24;;
Aedes Albopictus;0;0;0;0;0;29/4/24;;
Aedes Aegypti;0;0;0;0;0;29/4/24;;
Culex;3;0;0;0;3;29/4/24;;
Others;0;0;0;0;0;29/4/24;;
Aedes Albopictus;0;0;0;0;0;29/4/24;;
Aedes Aegypti;0;0;0;0;0;29/4/24;;
Culex;5;0;0;0;5;29/4/24;;
Others;0;0;0;0;0;29/4/24;;
Aedes Albopictus;0;0;0;0;0;29/4/24;;
Aedes Aegypti;0;0;0;0;0;29/4/24;;
Culex;11;2;0;0;13;29/4/24;;
Others;0;0;0;0;0;29/4/24;;
Aedes Albopictus;0;0;0;0;0;29/4/24;;
Aedes Aegypti;0;0;0;0;0;29/4/24;;
Culex;1;0;0;0;1;29/4/24;;
Others;0;0;0;0;0;29/4/24;;
Aedes Albopictus;0;0;0;0;0;29/4/24;;
Aedes Aegypti;0;0;0;0;0;29/4/24;;
Culex;3;2;0;0;5;29/4/24;;
Others;0;0;0;0;0;29/4/24;;
Aedes Albopictus;0;0;0;0;0;30/4/24;;
Aedes Aegypti;0;0;0;0;0;30/4/24;;
Culex;2;2;2;1;7;30/4/24;;
Others;0;0;0;0;0;30/4/24;;
Aedes Albopictus;0;0;0;0;0;30/4/24;;
Aedes Aegypti;0;0;0;0;0;30/4/24;;
Culex;2;3;0;0;5;30/4/24;;
Others;0;0;0;0;0;30/4/24;;
Aedes Albopictus;0;0;0;0;0;30/4/24;;
Aedes Aegypti;0;0;0;0;0;30/4/24;;
Culex;2;2;0;0;4;30/4/24;;
Others;0;0;0;0;0;30/4/24;;
Aedes Albopictus;0;0;0;0;0;30/4/24;;
Aedes Aegypti;0;0;0;0;0;30/4/24;;
Culex;0;0;0;0;0;30/4/24;;
Others;0;0;0;0;0;30/4/24;;
Aedes Albopictus;0;0;0;0;0;30/4/24;;
Aedes Aegypti;0;0;0;0;0;30/4/24;;
Culex;0;1;0;0;1;30/4/24;;
Others;0;0;0;0;0;30/4/24;;
Aedes Albopictus;0;0;0;0;0;2/4/24;;
Aedes Aegypti;0;0;0;0;0;2/4/24;;
Culex;29;621;0;0;650;2/4/24;;
Others;0;0;0;0;0;2/4/24;;
Aedes Albopictus;0;0;0;0;0;2/4/24;;
Aedes Aegypti;0;0;0;0;0;2/4/24;;
Culex;107;918;149;0;1174;2/4/24;;
Others;0;0;0;0;0;2/4/24;;
Aedes Albopictus;0;0;0;0;0;2/4/24;;
Aedes Aegypti;0;0;0;0;0;2/4/24;;
Culex;6;201;2;3;212;2/4/24;;
Others;0;0;0;0;0;2/4/24;;
Aedes Albopictus;0;0;0;0;0;2/4/24;;
Aedes Aegypti;0;0;0;0;0;2/4/24;;
Culex;0;0;0;0;0;2/4/24;;
Others;0;0;0;0;0;2/4/24;;
Aedes Albopictus;0;0;0;0;0;2/4/24;;
Aedes Aegypti;0;0;0;0;0;2/4/24;;
Culex;10;259;0;0;269;2/4/24;;
Others;0;0;0;0;0;2/4/24;;
Aedes Albopictus;0;0;0;0;0;3/4/24;;
Aedes Aegypti;0;0;0;0;0;3/4/24;;
Culex;11;308;4;0;323;3/4/24;;
Others;0;0;0;0;0;3/4/24;;
Aedes Albopictus;0;0;0;0;0;3/4/24;;
Aedes Aegypti;0;0;0;0;0;3/4/24;;
Culex;18;729;8;17;772;3/4/24;;
Others;0;0;0;0;0;3/4/24;;
